Recipe_code,Recipe_name,Ingredient,Unit_weight_amount
R60266,Spring Tortellini Gratin,"Pesto, Fresh 2oz",2
R60266,Spring Tortellini Gratin,Asparagus - 8 Ounce (oz),8
R60266,Spring Tortellini Gratin,"Garlic, Peeled",2
R60266,Spring Tortellini Gratin,"Breadcrumbs, Panko",0.5
R60266,Spring Tortellini Gratin,"Stock Concentrate, Veggie",9.6
R60266,Spring Tortellini Gratin,"Pasta, Tortelloni - Fresh",9
R60430,Edamame and Soba Noodle Bowl,"Noodles, Soba",4
R60430,Edamame and Soba Noodle Bowl,"Peas, Fresh and Frozen - 4 Ounce (oz)",4
R60430,Edamame and Soba Noodle Bowl,Snow Peas,4
R60430,Edamame and Soba Noodle Bowl,"Cabbage, Shredded Red",4
R60430,Edamame and Soba Noodle Bowl,Scallions,2
R60430,Edamame and Soba Noodle Bowl,Soy Sauce,1
R60430,Edamame and Soba Noodle Bowl,Peanut Butter,1.15
R60430,Edamame and Soba Noodle Bowl,Ginger,1
R60430,Edamame and Soba Noodle Bowl,"Vinegar, White Wine",25
R60430,Edamame and Soba Noodle Bowl,"Sugar, Brown",1
R25071,Caramelized Pineapple Burgers with Slaw,"Bread, Brioche Buns",2
R25071,Caramelized Pineapple Burgers with Slaw,"Beef, Ground",10
R25071,Caramelized Pineapple Burgers with Slaw,"Pineapple, In-Juice",4
R25071,Caramelized Pineapple Burgers with Slaw,"Cheese, Shredded Monterey Jack",1
R25071,Caramelized Pineapple Burgers with Slaw,"Onion, Red",1
R25071,Caramelized Pineapple Burgers with Slaw,"Cabbage, Shredded Red",4
R25071,Caramelized Pineapple Burgers with Slaw,Mayonnaise,1
R25071,Caramelized Pineapple Burgers with Slaw,"Vinegar, White Wine",25
R25071,Caramelized Pineapple Burgers with Slaw,Chives,0.25
R66666A,,,
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,"Salmon, Skin-On",10
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,Ginger,1
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,Scallions,2
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,"Rice, Jasmine",0.75
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,"Sesame Seeds, White",1
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,Lime,1
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,Sugar Snap Peas,6
R35126A,Teriyaki Salmon with Ginger Scallion Rice and Snap Peas,Teriyaki Sauce HF Private Label,4
R45024,Pork and Chinese Eggplant Stir-Fry,"Pork, Ground",10
R45024,Pork and Chinese Eggplant Stir-Fry,"Eggplant, Italian - 24-30 ct",1
R45024,Pork and Chinese Eggplant Stir-Fry,"Squash, Yellow",8
R45024,Pork and Chinese Eggplant Stir-Fry,Scallions,2
R45024,Pork and Chinese Eggplant Stir-Fry,"Garlic, Peeled",2
R45024,Pork and Chinese Eggplant Stir-Fry,Lime,1
R45024,Pork and Chinese Eggplant Stir-Fry,"Rice, Brown",0.75
R45024,Pork and Chinese Eggplant Stir-Fry,Sesame Oil,1
R45024,Pork and Chinese Eggplant Stir-Fry,Soy Sauce,1
R45024,Pork and Chinese Eggplant Stir-Fry,Ginger,1
R25114A,Cheesy meatball bake,"Beef, Ground",10
R25114A,Cheesy meatball bake,"Cheese, Ricotta",4
R25114A,Cheesy meatball bake,"Breadcrumbs, Panko",0.5
R25114A,Cheesy meatball bake,"Cheese, Shredded Mozzarella - 2 Ounce (oz)",2
R25114A,Cheesy meatball bake,Meatloaf Mix Blend,1
R25114A,Cheesy meatball bake,"Pasta, Spaghetti",6
R25114A,Cheesy meatball bake,"Onion, Yellow",1
R25114A,Cheesy meatball bake,"Tomato, Crushed",13.76
R25114A,Cheesy meatball bake,Lemon,1
R25114A,Cheesy meatball bake,"Lettuce, Spring Mix",4
R25114A,Cheesy meatball bake,"Spice, Italian Seasoning - ""So Delizioso""",1
R60447,Spicy Shakshuka with Chickpeas,Eggs,2
R60447,Spicy Shakshuka with Chickpeas,"Beans, Chickpeas",13.4
R60447,Spicy Shakshuka with Chickpeas,"Tomato, Crushed",13.76
R60447,Spicy Shakshuka with Chickpeas,Shakshuka Spice Blend 1Tbsp,1
R60447,Spicy Shakshuka with Chickpeas,Chili Flakes,1
R60447,Spicy Shakshuka with Chickpeas,Parsley,0.25
R60447,Spicy Shakshuka with Chickpeas,"Garlic, Peeled",2
R60447,Spicy Shakshuka with Chickpeas,"Cheese, Feta",2
R60447,Spicy Shakshuka with Chickpeas,"Bread, Demi Baguette",1
R60447,Spicy Shakshuka with Chickpeas,"Onion, Yellow",1
R60461,Aritchoke Risotto ONLY VEGGIE,"Rice, Arborio",0.75
R60461,Aritchoke Risotto ONLY VEGGIE,"Onion, Yellow",1
R60461,Aritchoke Risotto ONLY VEGGIE,"Artichokes, Jar",6.5
R60461,Aritchoke Risotto ONLY VEGGIE,"Mushrooms, Button",4
R60461,Aritchoke Risotto ONLY VEGGIE,"Garlic, Peeled",2
R60461,Aritchoke Risotto ONLY VEGGIE,Parsley,0.25
R60461,Aritchoke Risotto ONLY VEGGIE,"Cheese, Shredded Parmesan",1
R60461,Aritchoke Risotto ONLY VEGGIE,"Stock Concentrate, Veggie",9.6
R60461,Aritchoke Risotto ONLY VEGGIE,Pine Nuts,1
R66681A,,,
R15168A,,,
R10030,Teriyaki Chicken with Coconut Rice and Bok Choy,"Chicken, Breasts",12
R10030,Teriyaki Chicken with Coconut Rice and Bok Choy,"Rice, Basmati",0.75
R10030,Teriyaki Chicken with Coconut Rice and Bok Choy,"Garlic, Peeled",2
R10030,Teriyaki Chicken with Coconut Rice and Bok Choy,Ginger,1
R10030,Teriyaki Chicken with Coconut Rice and Bok Choy,"Coconut Milk, Light",14
R10030,Teriyaki Chicken with Coconut Rice and Bok Choy,Honey .5oz,0.5
R10030,Teriyaki Chicken with Coconut Rice and Bok Choy,Soy Sauce,1
R60411,NL Couscous and Grilled Asparagus Salad,"Garlic, Peeled",2
R60411,NL Couscous and Grilled Asparagus Salad,Asparagus - 8 Ounce (oz),8
R60411,NL Couscous and Grilled Asparagus Salad,"Thyme, Fresh",0.25
R60411,NL Couscous and Grilled Asparagus Salad,"Tomato, Grape",4
R60411,NL Couscous and Grilled Asparagus Salad,"Couscous, Israeli",0.75
R60411,NL Couscous and Grilled Asparagus Salad,Scallions,2
R60411,NL Couscous and Grilled Asparagus Salad,"Almonds, Sliced",1
R60411,NL Couscous and Grilled Asparagus Salad,"Cheese, Feta",2
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,"Mint, Fresh",0.25
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,"Garlic, Peeled",2
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,"Pasta, Penne",6
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,"Stock Concentrate, Veggie",9.6
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,Pine Nuts,1
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,"Pork, Pancetta",4
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,"Peas, Fresh and Frozen - 4 Ounce (oz)",4
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,"Cheese, Shredded Parmesan",1
R45060B,UK Super Quick Creamy Pasta with Peas and Pancetta with Truffle,Truffle Zest,2
R35101,UK Herby Sea Bass with Salsa Verde,Sole,12
R35101,UK Herby Sea Bass with Salsa Verde,"Potato, Yukon B",12
R35101,UK Herby Sea Bass with Salsa Verde,"Garlic, Peeled",2
R35101,UK Herby Sea Bass with Salsa Verde,"Olives, Green",1
R35101,UK Herby Sea Bass with Salsa Verde,Parsley,0.25
R35101,UK Herby Sea Bass with Salsa Verde,Lemon,1
R35101,UK Herby Sea Bass with Salsa Verde,Green Beans,6
R35101,UK Herby Sea Bass with Salsa Verde,"Paprika, Smoked",1
R25077,Chimichurri Burger,"Cabbage, Coleslaw Mix",5
R25077,Chimichurri Burger,"Avocado, Hass - 60ct - 1 Piece (pc)",1
R25077,Chimichurri Burger,"Tomato, Roma",1
R25077,Chimichurri Burger,"Cheese, Shredded Monterey Jack",1
R25077,Chimichurri Burger,"Beef, Ground",10
R25077,Chimichurri Burger,Parsley,0.25
R25077,Chimichurri Burger,"Bread, Brioche Buns",2
R25077,Chimichurri Burger,Mayonnaise,1
R25077,Chimichurri Burger,Lemon,1
R25077,Chimichurri Burger,"Garlic, Peeled",2
R10181C,Balsamic Fig Chicken - Summer,"Squash, Zucchini",8
R10181C,Balsamic Fig Chicken - Summer,Shallot,2
R10181C,Balsamic Fig Chicken - Summer,Rosemary,0.25
R10181C,Balsamic Fig Chicken - Summer,"Chicken, Breasts",12
R10181C,Balsamic Fig Chicken - Summer,"Vinegar, Balsamic",25
R10181C,Balsamic Fig Chicken - Summer,"Jam, Fig",1
R10181C,Balsamic Fig Chicken - Summer,"Stock Concentrate, Chicken",9.6
R10175,Quickest Chicken Parmesan,"Chicken, Breasts",12
R10175,Quickest Chicken Parmesan,"Tomato, Crushed",13.76
R10175,Quickest Chicken Parmesan,"Garlic, Peeled",2
R10175,Quickest Chicken Parmesan,"Pasta, Rigatoni",6
R10175,Quickest Chicken Parmesan,"Cheese, Fresh Mozzarella - 4 Ounce (oz)",4
R10175,Quickest Chicken Parmesan,"Spice, Italian Seasoning - ""So Delizioso""",1
R10175,Quickest Chicken Parmesan,Onion Powder,1
R10175,Quickest Chicken Parmesan,"Breadcrumbs, Panko",0.5
R10175,Quickest Chicken Parmesan,"Cheese, Shredded Parmesan",1
R10175,Quickest Chicken Parmesan,"Tomato, Grape",4
R30023,Shrimp and Farro Bowl,Shrimp,10
R30023,Shrimp and Farro Bowl,Farro,0.75
R30023,Shrimp and Farro Bowl,Shallot,2
R30023,Shrimp and Farro Bowl,"Bell Pepper, Red/Orange/Yellow - Hot House Grown",1
R30023,Shrimp and Farro Bowl,Green Beans,6
R30023,Shrimp and Farro Bowl,Lemon,1
R30023,Shrimp and Farro Bowl,"Garlic, Peeled",2
R30023,Shrimp and Farro Bowl,"Mint, Fresh",0.25
R30023,Shrimp and Farro Bowl,"Lettuce, Arugula",2
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Bread, Flatbread",2
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Spinach, Baby",5
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Onion, Red",1
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Mushrooms, Button",4
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Cheese, Fresh Mozzarella - 4 Ounce (oz)",4
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Tomato, Roma",1
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Pepper, Thai Bird's Eye Chili",1
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Garlic, Peeled",2
R60488A,Veggie Lovers Flatbread with Spinach Salad,Lemon,1
R60488A,Veggie Lovers Flatbread with Spinach Salad,"Cheese, Cream",1
R60447,Spicy Shakshuka with Chickpeas,Eggs,2
R60447,Spicy Shakshuka with Chickpeas,"Beans, Chickpeas",13.4
R60447,Spicy Shakshuka with Chickpeas,"Tomato, Crushed",13.76
R60447,Spicy Shakshuka with Chickpeas,Shakshuka Spice Blend 1Tbsp,1
R60447,Spicy Shakshuka with Chickpeas,Chili Flakes,1
R60447,Spicy Shakshuka with Chickpeas,Parsley,0.25
R60447,Spicy Shakshuka with Chickpeas,"Garlic, Peeled",2
R60447,Spicy Shakshuka with Chickpeas,"Cheese, Feta",2
R60447,Spicy Shakshuka with Chickpeas,"Bread, Demi Baguette",1
R60447,Spicy Shakshuka with Chickpeas,"Onion, Yellow",1
R40021,Pork Tenderloin with Potatoes and Tarragon Cream Sauce,"Pork, Tenderloin",12
R40021,Pork Tenderloin with Potatoes and Tarragon Cream Sauce,Brussels Sprouts,8
R40021,Pork Tenderloin with Potatoes and Tarragon Cream Sauce,"Potato, Yukon B",12
R40021,Pork Tenderloin with Potatoes and Tarragon Cream Sauce,Tarragon,0.25
R40021,Pork Tenderloin with Potatoes and Tarragon Cream Sauce,"Stock Concentrate, Chicken",9.6
R45053,Brown Sugar Pork,"Pork, Boneless Chops (2)",12
R45053,Brown Sugar Pork,"Cranberries, Dried",1
R45053,Brown Sugar Pork,"Apple, Granny Smith",1
R45053,Brown Sugar Pork,"Spice, Blackening Spice - ""Southern Sizzle""",1
R45053,Brown Sugar Pork,Lemon,1
R45053,Brown Sugar Pork,Brussels Sprouts,8
R15040,Jerk Chicken Skewers with Peach and Curried Rice,"Chicken, Breasts",12
R15040,Jerk Chicken Skewers with Peach and Curried Rice,Jerk Seasoning,1
R15040,Jerk Chicken Skewers with Peach and Curried Rice,Peach,1
R15040,Jerk Chicken Skewers with Peach and Curried Rice,"Onion, Red",1
R15040,Jerk Chicken Skewers with Peach and Curried Rice,Sugar Snap Peas,4
R15040,Jerk Chicken Skewers with Peach and Curried Rice,"Rice, Basmati",0.5
R15040,Jerk Chicken Skewers with Peach and Curried Rice,"Curry, Powder",1
R15040,Jerk Chicken Skewers with Peach and Curried Rice,Lemon,1
R15040,Jerk Chicken Skewers with Peach and Curried Rice,"Stock Concentrate, Chicken",9.6
R25127A,White BBQ Meatloaf,"Potato, Yukon B",16
R25127A,White BBQ Meatloaf,Scallions,2
R25127A,White BBQ Meatloaf,Mayonnaise,1
R25127A,White BBQ Meatloaf,"Vinegar, White Wine",25
R25127A,White BBQ Meatloaf,"Beef, Ground",10
R25127A,White BBQ Meatloaf,"Breadcrumbs, Panko",0.5
R25127A,White BBQ Meatloaf,Sweet and Smoky BBQ Seasoning,1
R25127A,White BBQ Meatloaf,"Stock Concentrate, Beef",12
R25127A,White BBQ Meatloaf,"Cabbage, Shredded Red",4
R90001A,"Chorizo, Avocado, and Egg sandwich with Potato Hash",Eggs,2
R90001A,"Chorizo, Avocado, and Egg sandwich with Potato Hash","Bread, Brioche Buns",2
R90001A,"Chorizo, Avocado, and Egg sandwich with Potato Hash","Avocado, Hass - 60ct - 1 Piece (pc)",1
R90001A,"Chorizo, Avocado, and Egg sandwich with Potato Hash","Chorizo, Dried",3
R90001A,"Chorizo, Avocado, and Egg sandwich with Potato Hash","Potato, Yukon B",12
R90001A,"Chorizo, Avocado, and Egg sandwich with Potato Hash","Onion, Red",1
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Pasta, Penne",6
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Garlic, Peeled",2
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Squash, Zucchini",8
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Herb, Basil",0.5
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Cheese, Goat - Disc",1
R60513A,Pasta with Roasted Veggies and Goat Cheese,Chili Flakes,1
R60513A,Pasta with Roasted Veggies and Goat Cheese,Scallions,2
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Cheese, Shredded Parmesan",1
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Beans, Chickpeas",13.4
R60513A,Pasta with Roasted Veggies and Goat Cheese,"Spice, Italian Seasoning - ""So Delizioso""",1
R35054,Parmesan Crusted Tilapia,Tilapia,11
R35054,Parmesan Crusted Tilapia,"Potato, White C",12
R35054,Parmesan Crusted Tilapia,Lemon,1
R35054,Parmesan Crusted Tilapia,"Garlic, Peeled",2
R35054,Parmesan Crusted Tilapia,Parsley,0.25
R35054,Parmesan Crusted Tilapia,"Oregano, Dried",1
R35054,Parmesan Crusted Tilapia,"Breadcrumbs, Panko",0.5
R35054,Parmesan Crusted Tilapia,"Cheese, Shredded Parmesan",1
R35176A,"Hoisin-Sriracha Grilled Salmon with Jasmine Rice, Grilled Baby Bok Choy, and Sriracha Butter","Salmon, Skin-On",10
R35176A,"Hoisin-Sriracha Grilled Salmon with Jasmine Rice, Grilled Baby Bok Choy, and Sriracha Butter","Sauce, Hoisin",1
R35176A,"Hoisin-Sriracha Grilled Salmon with Jasmine Rice, Grilled Baby Bok Choy, and Sriracha Butter",Sriracha Sauce,1
R35176A,"Hoisin-Sriracha Grilled Salmon with Jasmine Rice, Grilled Baby Bok Choy, and Sriracha Butter",Lime,1
R35176A,"Hoisin-Sriracha Grilled Salmon with Jasmine Rice, Grilled Baby Bok Choy, and Sriracha Butter",Scallions,2
R35176A,"Hoisin-Sriracha Grilled Salmon with Jasmine Rice, Grilled Baby Bok Choy, and Sriracha Butter","Rice, Jasmine",0.5
R80048A,Maple Glazed Duck with Blood Orange Salad,"Potato, Fingerling 12oz",12
R80048A,Maple Glazed Duck with Blood Orange Salad,Duck Breast,12
R80048A,Maple Glazed Duck with Blood Orange Salad,Rosemary,0.25
R80048A,Maple Glazed Duck with Blood Orange Salad,"Garlic, Peeled",2
R80048A,Maple Glazed Duck with Blood Orange Salad,Blood Orange,1
R80048A,Maple Glazed Duck with Blood Orange Salad,Maple Syrup,1
R80048A,Maple Glazed Duck with Blood Orange Salad,"Mustard, Whole Grain",1
R80048A,Maple Glazed Duck with Blood Orange Salad,"Lettuce, Arugula",2
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema","Chicken, Stir Fry",10
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema","Onion, Red",1
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema","Bell Pepper, Red/Orange/Yellow - Hot House Grown",1
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema",Lime,1
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema",Sour Cream,1
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema","Tortillas, 6-inch Flour",6
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema","Pepper, Jalapeno",1
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema","Cheese, Shredded Cheddar",2
R10123B,"Smoky Chicken Fajitas with Charred Pepper and Onion, Garlic-Lime Crema","Spice, Southwest Spice - ""Warm n' Smoky""",1
R35101,UK Herby Sea Bass with Salsa Verde,Sole,12
R35101,UK Herby Sea Bass with Salsa Verde,"Potato, Yukon B",12
R35101,UK Herby Sea Bass with Salsa Verde,"Garlic, Peeled",2
R35101,UK Herby Sea Bass with Salsa Verde,"Olives, Green",1
R35101,UK Herby Sea Bass with Salsa Verde,Parsley,0.25
R35101,UK Herby Sea Bass with Salsa Verde,Lemon,1
R35101,UK Herby Sea Bass with Salsa Verde,Green Beans,6
R35101,UK Herby Sea Bass with Salsa Verde,"Paprika, Smoked",1
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,"Chicken, Breasts",12
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,"Potato, Yukon B",12
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,"Onion, Red",1
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,Parsley,0.25
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,Green Beans,6
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,"Mustard, Whole Grain",1
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,"Vinegar, Red Wine",25
R10118,UK Chicken with Mustard Sauce NOT FOR FAMILY,Sour Cream,1
R45162A,BBQ Pulled Pork Flatbread,"Tomato, Roma",1
R45162A,BBQ Pulled Pork Flatbread,Scallions,2
R45162A,BBQ Pulled Pork Flatbread,Sweet and Smoky BBQ Seasoning,1
R45162A,BBQ Pulled Pork Flatbread,"Pork, Pulled",10
R45162A,BBQ Pulled Pork Flatbread,"Bread, Flatbread",2
R45162A,BBQ Pulled Pork Flatbread,"Cheese, Shredded Mozzarella - 2 Ounce (oz)",2
R45162A,BBQ Pulled Pork Flatbread,Classic BBQ Sauce,2
R60271A,Portobello & Orecchiette Primavera,"Mushrooms, Portobello Caps",2
R60271A,Portobello & Orecchiette Primavera,Asparagus,6
R60271A,Portobello & Orecchiette Primavera,"Onion, Yellow",1
R60271A,Portobello & Orecchiette Primavera,"Garlic, Peeled",2
R60271A,Portobello & Orecchiette Primavera,"Pasta, Orecchiette",6
R60271A,Portobello & Orecchiette Primavera,Chives,0.25
R60271A,Portobello & Orecchiette Primavera,"Cheese, Shredded Parmesan",1
R60271A,Portobello & Orecchiette Primavera,"Bell Pepper, Red",1
R60271A,Portobello & Orecchiette Primavera,Chili Flakes,1
R60498A,Southwest Black Bean Burgers,"Beans, Black",13.4
R60498A,Southwest Black Bean Burgers,"Corn on the Cob, 8-inch",1
R60498A,Southwest Black Bean Burgers,Eggs,2
R60498A,Southwest Black Bean Burgers,"Spice, Southwest Spice - ""Warm n' Smoky""",1
R60498A,Southwest Black Bean Burgers,Shallot,2
R60498A,Southwest Black Bean Burgers,"Cheese, Shredded Mozzarella - 2 Ounce (oz)",2
R60498A,Southwest Black Bean Burgers,"Bread, Brioche Buns",2
R60498A,Southwest Black Bean Burgers,"Tomato, Roma",1
R60498A,Southwest Black Bean Burgers,"Pepper, Jalapeno",1
R60498A,Southwest Black Bean Burgers,Lime,1
R35174A,Southwest Salmon Bowl,"Stock Concentrate, Chicken",9.6
R35174A,Southwest Salmon Bowl,"Couscous, Israeli",0.5
R35174A,Southwest Salmon Bowl,"Salmon, Skin-On",10
R35174A,Southwest Salmon Bowl,"Spice, Italian Seasoning - ""So Delizioso""",1
R35174A,Southwest Salmon Bowl,Scallions,2
R35174A,Southwest Salmon Bowl,"Tomato, Roma",1
R35174A,Southwest Salmon Bowl,"Squash, Zucchini",8
R35174A,Southwest Salmon Bowl,Sour Cream,1
R35174A,Southwest Salmon Bowl,Lemon,1
R10158,Grilled Chicken with Potato and Summer Squash Hash,"Chicken, Breasts",12
R10158,Grilled Chicken with Potato and Summer Squash Hash,"Potato, Yukon B",12
R10158,Grilled Chicken with Potato and Summer Squash Hash,Sour Cream,1
R10158,Grilled Chicken with Potato and Summer Squash Hash,"Squash, Zucchini",8
R10158,Grilled Chicken with Potato and Summer Squash Hash,Dill,0.25
R10158,Grilled Chicken with Potato and Summer Squash Hash,"Mustard, Dijon, Mini Glass Bottles",1.4
R10158,Grilled Chicken with Potato and Summer Squash Hash,"Stock Concentrate, Chicken",9.6
R10158,Grilled Chicken with Potato and Summer Squash Hash,"Squash, Yellow",8
R10167B,Baked Parmesan Chicken Nuggets with Green Beans and Oven Fries,"Chicken, Tenders 12oz (8-11 pieces/pack)",12
R10167B,Baked Parmesan Chicken Nuggets with Green Beans and Oven Fries,"Cheese, Shredded Parmesan",1
R10167B,Baked Parmesan Chicken Nuggets with Green Beans and Oven Fries,"Rosemary, Dried",1
R10167B,Baked Parmesan Chicken Nuggets with Green Beans and Oven Fries,"Potato, Yukon B",12
R10167B,Baked Parmesan Chicken Nuggets with Green Beans and Oven Fries,Green Beans,6
R10167B,Baked Parmesan Chicken Nuggets with Green Beans and Oven Fries,Eggs,2
R80031A,Lobster Ravioli with Maitake Mushrooms,"Pork, Sliced Bacon",4
R80031A,Lobster Ravioli with Maitake Mushrooms,Shallot,2
R80031A,Lobster Ravioli with Maitake Mushrooms,"Lettuce, Arugula",2
R80031A,Lobster Ravioli with Maitake Mushrooms,"Mushrooms, Maitake",4
R80031A,Lobster Ravioli with Maitake Mushrooms,Chives,0.25
R80031A,Lobster Ravioli with Maitake Mushrooms,Lemon,1
R80031A,Lobster Ravioli with Maitake Mushrooms,"Pasta, Lobster Ravioli",9
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato","Steak, NY Strip - Upper 2/3 Choice",12
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato","Butter, Black Truffle",1
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato","Mushrooms, Cremini",4
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato","Carrots, Baby Stemmed",8
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato","Cheese, Cream",1
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato","Potato, Russet",12
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato","Stock Concentrate, Beef",12
R80104A,"Steakhouse Classic Ny Strip With Truffle Mushroom Sauce, Roasted Carrots, And Stuffed Potato",Scallions,2
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,"Pasta, Lobster Ravioli",9
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,"Tomato, Heirloom Grape 10oz",10
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,Shrimp,10
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,Tarragon,0.25
R80007A,Lobster Ravioli with Shrimp and Heirloom Tomatoes,"Garlic, Peeled",2
R60319,Summer Ratatouille,"Eggplant, Italian - 24-30 ct",1
R60319,Summer Ratatouille,Shallot,2
R60319,Summer Ratatouille,"Pasta, Tri-Color Tortelloni - Fresh",9
R60319,Summer Ratatouille,"Bell Pepper, Red/Orange/Yellow - Hot House Grown",1
R60319,Summer Ratatouille,"Herb, Basil",0.5
R60319,Summer Ratatouille,"Tomato, Roma",1
R60319,Summer Ratatouille,"Squash, Yellow",8
R60319,Summer Ratatouille,"Cheese, Shredded Parmesan",1
R60319,Summer Ratatouille,"Garlic, Peeled",2
R40084A,lemongrass pork tenderloin,"Pork, Tenderloin",12
R40084A,lemongrass pork tenderloin,"Lemongrass Stalk, 7in",1
R40084A,lemongrass pork tenderloin,"Garlic, Peeled",2
R40084A,lemongrass pork tenderloin,Lime,1
R40084A,lemongrass pork tenderloin,Soy Sauce,1
R40084A,lemongrass pork tenderloin,"Stock Concentrate, Veggie",9.6
R40084A,lemongrass pork tenderloin,"Rice, Jasmine",0.75
R40084A,lemongrass pork tenderloin,Snow Peas,4
R40084A,lemongrass pork tenderloin,"Sesame Seeds, White",1
R40066,Pork Chops with Arugula-Peach Salad and Couscous,"Pork, Boneless Chops (2)",12
R40066,Pork Chops with Arugula-Peach Salad and Couscous,Peach,1
R40066,Pork Chops with Arugula-Peach Salad and Couscous,"Lettuce, Arugula",2
R40066,Pork Chops with Arugula-Peach Salad and Couscous,"Thyme, Fresh",0.25
R40066,Pork Chops with Arugula-Peach Salad and Couscous,"Stock Concentrate, Veggie",9.6
R40066,Pork Chops with Arugula-Peach Salad and Couscous,Shallot,2
R40066,Pork Chops with Arugula-Peach Salad and Couscous,"Couscous, French",0.5
R40066,Pork Chops with Arugula-Peach Salad and Couscous,"Vinegar, Balsamic",25
R40066,Pork Chops with Arugula-Peach Salad and Couscous,Honey .5oz,0.5
R60526A,Super Cheesy Corn and Poblano Quesadillas,"Pepper, Poblano",1
R60526A,Super Cheesy Corn and Poblano Quesadillas,"Corn on the Cob, 8-inch",1
R60526A,Super Cheesy Corn and Poblano Quesadillas,Scallions,2
R60526A,Super Cheesy Corn and Poblano Quesadillas,"Spice, Southwest Spice - ""Warm n' Smoky""",1
R60526A,Super Cheesy Corn and Poblano Quesadillas,"Tomato, Roma",1
R60526A,Super Cheesy Corn and Poblano Quesadillas,Lime,1
R60526A,Super Cheesy Corn and Poblano Quesadillas,"Pepper, Thai Bird's Eye Chili",1
R60526A,Super Cheesy Corn and Poblano Quesadillas,"Tortillas, 10-inch Flour",2
